county,tract,bg,state,pumano,stateabb,countyname
int,int,int,int,int,text,text
33,26802,3015,53,2005,WA,King
33,26802,3014,53,2005,WA,King
33,27400,3001,53,2005,WA,King
33,27000,2004,53,2005,WA,King
33,27000,3006,53,2005,WA,King
33,3200,7012,53,1801,WA,King
33,3200,5001,53,1801,WA,King
33,3200,1006,53,1801,WA,King
33,3200,2003,53,1801,WA,King
33,1900,3017,53,1802,WA,King
33,26700,4014,53,1805,WA,King
33,26802,1019,53,2005,WA,King
33,4700,4001,53,1801,WA,King
33,3200,3012,53,1801,WA,King
33,3300,5011,53,1801,WA,King
33,3300,5003,53,1801,WA,King
33,3300,3013,53,1801,WA,King
33,26300,2022,53,2005,WA,King
33,26300,2039,53,2005,WA,King
33,26200,1011,53,2005,WA,King
33,100,1019,53,1802,WA,King
33,29802,3008,53,2006,WA,King
33,5600,5041,53,1803,WA,King
33,9701,3022,53,1805,WA,King
33,9701,2002,53,1805,WA,King
33,9702,3008,53,1805,WA,King
33,9600,4004,53,1805,WA,King
33,10200,2018,53,1804,WA,King
33,11102,1009,53,1804,WA,King
33,11102,2009,53,1804,WA,King
33,11102,4002,53,1804,WA,King
33,29601,3006,53,2008,WA,King
33,21100,1001,53,2001,WA,King
33,21100,1017,53,2001,WA,King
33,20402,3006,53,2001,WA,King
33,21300,3016,53,2001,WA,King
33,21400,1019,53,2001,WA,King
33,5000,1029,53,1801,WA,King
33,26801,1004,53,2005,WA,King
33,11200,2042,53,1805,WA,King
33,11200,2022,53,1805,WA,King
33,28100,2003,53,2005,WA,King
33,27200,2004,53,2005,WA,King
33,28801,2008,53,2005,WA,King
33,28300,1009,53,2005,WA,King
33,28802,2042,53,2005,WA,King
33,29001,4016,53,2007,WA,King
33,28901,3019,53,2007,WA,King
33,29001,4002,53,2007,WA,King
33,29102,3032,53,2006,WA,King
33,29700,2033,53,2008,WA,King
33,28600,5011,53,2005,WA,King
33,29303,3021,53,2004,WA,King
33,28500,3004,53,2005,WA,King
33,29502,3005,53,2006,WA,King
33,4000,1015,53,1802,WA,King
33,26200,1145,53,2005,WA,King
33,29305,2005,53,2006,WA,King
33,27000,2005,53,2005,WA,King
33,27000,1001,53,2005,WA,King
33,29307,2031,53,2006,WA,King
33,29307,2018,53,2006,WA,King
33,27000,3008,53,2005,WA,King
33,27900,5006,53,2005,WA,King
33,27800,3011,53,2005,WA,King
33,27900,4011,53,2005,WA,King
33,27900,4010,53,2005,WA,King
33,5801,4010,53,1803,WA,King
33,4700,4011,53,1801,WA,King
33,4700,4000,53,1801,WA,King
33,4700,4018,53,1801,WA,King
33,26300,2036,53,2005,WA,King
33,26300,2028,53,2005,WA,King
33,27300,1002,53,2005,WA,King
33,27300,1000,53,2005,WA,King
33,28200,1030,53,2005,WA,King
33,9701,2001,53,1805,WA,King
33,9701,1013,53,1805,WA,King
33,9600,4002,53,1805,WA,King
33,9600,5021,53,1805,WA,King
33,9600,1006,53,1805,WA,King
33,11700,3011,53,1805,WA,King
33,11700,3025,53,1805,WA,King
33,11001,3007,53,1804,WA,King
33,20500,2003,53,2001,WA,King
33,4800,3008,53,1801,WA,King
33,4800,3001,53,1801,WA,King
33,4800,3012,53,1801,WA,King
33,4800,1019,53,1801,WA,King
33,200,6002,53,1802,WA,King
33,200,4010,53,1802,WA,King
33,200,6014,53,1802,WA,King
33,5000,1012,53,1801,WA,King
33,5000,1026,53,1801,WA,King
33,11200,2041,53,1805,WA,King
33,11200,1031,53,1805,WA,King
33,11200,3004,53,1805,WA,King
33,29405,1007,53,2006,WA,King
33,29408,1005,53,2006,WA,King
33,29502,3006,53,2006,WA,King
33,21400,1018,53,2001,WA,King
33,29700,4050,53,2008,WA,King
33,29205,1012,53,2006,WA,King
33,29206,3020,53,2006,WA,King
33,29206,2000,53,2006,WA,King
33,29405,1000,53,2006,WA,King
33,5802,1006,53,1803,WA,King
33,11700,1014,53,1804,WA,King
33,5801,2010,53,1803,WA,King
33,6200,3009,53,1804,WA,King
33,4900,5011,53,1801,WA,King
33,29304,2004,53,2004,WA,King
33,21400,1017,53,2001,WA,King
33,9500,3043,53,1804,WA,King
33,10402,4001,53,1805,WA,King
33,3600,2017,53,1801,WA,King
33,4200,4008,53,1802,WA,King
33,8100,1019,53,1803,WA,King
33,28600,5019,53,2005,WA,King
33,28600,1001,53,2005,WA,King
33,28600,1003,53,2005,WA,King
33,28600,3018,53,2005,WA,King
33,3000,2013,53,1801,WA,King
33,3000,4000,53,1801,WA,King
33,3000,4008,53,1801,WA,King
33,3000,4012,53,1801,WA,King
33,29102,1017,53,2006,WA,King
33,29102,1012,53,2006,WA,King
33,5600,4009,53,1803,WA,King
33,5700,3003,53,1803,WA,King
33,9701,1004,53,1805,WA,King
33,9701,4019,53,1805,WA,King
33,9600,4022,53,1805,WA,King
33,9600,4019,53,1805,WA,King
33,9600,4011,53,1805,WA,King
33,9600,4018,53,1805,WA,King
33,11700,1004,53,1805,WA,King
33,11101,2015,53,1804,WA,King
33,11700,3024,53,1805,WA,King
33,11700,2024,53,1805,WA,King
33,11700,2020,53,1805,WA,King
33,4800,2014,53,1801,WA,King
33,4800,2000,53,1801,WA,King
33,4800,3041,53,1801,WA,King
33,4800,3038,53,1801,WA,King
33,200,6020,53,1802,WA,King
33,5900,5000,53,1803,WA,King
33,6900,1002,53,1803,WA,King
33,4900,2024,53,1801,WA,King
33,6000,3022,53,1803,WA,King
33,3500,3023,53,1801,WA,King
33,5000,3010,53,1801,WA,King
33,5000,2007,53,1801,WA,King
33,11200,1027,53,1805,WA,King
33,7500,4011,53,1804,WA,King
33,9300,2021,53,1805,WA,King
33,29206,1054,53,2006,WA,King
33,26200,1015,53,2005,WA,King
33,28000,1008,53,2005,WA,King
33,28200,2011,53,2005,WA,King
33,28000,3001,53,2005,WA,King
33,10401,2003,53,1805,WA,King
33,20100,1000,53,2001,WA,King
33,3600,1039,53,1801,WA,King
33,20200,2003,53,2001,WA,King
33,20300,4003,53,2001,WA,King
33,20300,4002,53,2001,WA,King
33,20300,3005,53,2001,WA,King
33,20300,4012,53,2001,WA,King
33,20401,2009,53,2001,WA,King
33,20401,2010,53,2001,WA,King
33,20800,1006,53,2001,WA,King
33,20800,2002,53,2001,WA,King
33,20700,3001,53,2001,WA,King
33,3600,4000,53,1801,WA,King
33,3600,4003,53,1801,WA,King
33,20700,1002,53,2001,WA,King
